LICENSE_NO,BUSINESS_NAME,LEGAL_STRUCTURE,LICENSE_TYPE,RECORD_STATUS,EXPIRATION_DATE,EXPIRATION_STATUS,MUNICIPALITY,MANAGER_NAME,DBA,OFF_CATEGORY,ON_CATEGORY,OFF_TYPE,ON_TYPE,LICENSEE_CLASS,TRANSFER_FROM,TRANSFER_METHOD,LIC_HISTORY_BUSINESS_NAME,LICENSE_ISSUE_DATE,SPECIAL_LEGISLATION,CHAPTER,OF_THE_ACT,ST_NO,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,FULL_PREMISE_ADDRESS,BUSINESS_ADDRESS
00001-RS-0198,Sign Of The Surf Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Peter Barnard,IMPUDENT OYSTER,,All Alcoholic Beverages,,Restaurant,Annual,,,,27150.0,No,,,15,Chatham Bars Avenue,,Chatham,MA,02633,"15 Chatham Bars Avenue , Chatham, MA 02633","15 Chatham Bars Avenue , Chatham, MA 02633"
00029-HT-0198,Queen Anne Inn Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Dana Weinkopf,THE QUEEN ANNE INN,,All Alcoholic Beverages,,Hotel/Innkeeper,Seasonal,,,,32259.0,No,,,70,Queen Anne Road,,Chatham,MA,02633,"70 Queen Anne Road , Chatham, MA 02633","70 Queen Anne Road , Chatham, MA 02633"
00017-RS-0198,Diane Ef Co Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Diane Fogg,CAPTAINS TABLE,,All Alcoholic Beverages,,Restaurant,Seasonal,,,,34913.0,No,,,578,Main Street,,Chatham,MA,02633,"578 Main Street , Chatham, MA 02633","578 Main Street , Chatham, MA 02633"
00062-RS-0198,Chatham Pisces Restaurant Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Susan Connors,PISCES RESTAURANT AND BAR,,All Alcoholic Beverages,,Restaurant,Seasonal,,,,37201.0,No,,,2653,Main Street,,Chatham,MA,02659,"2653 Main Street , Chatham, MA 02659","2653 Main Street , Chatham, MA 02659"
00031-HT-0198,Cbi Operations LLC,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,SHAUN LINEHAN,CHATHAM BARS INN,,All Alcoholic Beverages,,Hotel/Innkeeper,Annual,,,,38986.0,No,,,286,Shore Road,,Chatham,MA,02633,"286 Shore Road , Chatham, MA 02633","286 Shore Road , Chatham, MA 02633"
00033-HT-0198,CBI Operations LLC,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Shaun Linehan,CHATHAM BARS INN,,All Alcoholic Beverages,,Hotel/Innkeeper,Annual,,,,38986.0,No,,,297,Shore Road,,Chatham,MA,02633,"297 Shore Road , Chatham, MA 02633","297 Shore Road , Chatham, MA 02633"
00044-PK-0198,Dash Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,CHATHAM,David Norris,SHOP AHOY LIQUORS,All Alcoholic Beverages,,Package Store,,Annual,,,,39192.0,No,,,1589,Main Street,,Chatham,MA,02659,"1589 Main Street , Chatham, MA 02659","1589 Main Street , Chatham, MA 02659"
00077-RS-0198,Red Buoy Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Michael Giorgio,RED NUN,,All Alcoholic Beverages,,Restaurant,Annual,,,,39476.0,No,,,746,Main Street,,Chatham,MA,02633,"746 Main Street , Chatham, MA 02633","746 Main Street , Chatham, MA 02633"
00083-PK-0198,The Chatham Cheese Co LLC,Corporation,Off Premise Retail,Issued,46387.0,Active,CHATHAM,Heather Cantin,THE CHATHAM CHEESE COMPANY,Wines and Malt,,Package Store,,Annual,,,,39610.0,No,,,902,Main Street,,Chatham,MA,02633,"902 Main Street , Chatham, MA 02633","902 Main Street , Chatham, MA 02633"
00084-RS-0198,The Grump Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Merrill Sweet,SWEET TOMATOES,,Wines and Malt,,Restaurant,Seasonal,,,,39953.0,No,,,790,Main Street,,Chatham,MA,02633,"790 Main Street , Chatham, MA 02633","790 Main Street , Chatham, MA 02633"
00045-RS-0198,Osr Seafood,Sole Proprietor,On Premise Retail,Issued,46387.0,Active,CHATHAM,Scott Eurenius,KREAM N KONE,,Wines and Malt,,Restaurant,Seasonal,,,,40322.0,No,,,1653,Main Street,,Chatham,MA,02633,"1653 Main Street , Chatham, MA 02633","1653 Main Street , Chatham, MA 02633"
00074-RS-0198,Jjg Chatham Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,John Zartarian,DEL MAR BAR AND BISTRO,,All Alcoholic Beverages,,Restaurant,Annual,,,,40632.0,No,,,907,Main Street,,Chatham,MA,02633,"907 Main Street , Chatham, MA 02633","907 Main Street , Chatham, MA 02633"
00090-RS-0198,Bluefins Sushi And Sake Bar Inc.,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Andrew Baler,Bluefins Sushi and Sake Bar,,All Alcoholic Beverages,,Restaurant,Annual,,,,41684.0,No,,,511-513,Main Street,,Chatham,MA,02633,"511-513 Main Street , Chatham, MA 02633","511-513 Main Street , Chatham, MA 02633"
00005-VC-0198,Brown James Buck Memorial Assoc Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Donald L Devine,BROWN JAMES BUCK VFW POST 8607,,All Alcoholic Beverages,,Veterans Club,Annual,,,,42051.0,No,,,150,George Ryder Road,,Chatham,MA,02633,"150 George Ryder Road , Chatham, MA 02633","150 George Ryder Road , Chatham, MA 02633"
00003-CL-0198,Chatham Dramatic Guild Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Michael Guzowski,"Chatham Dramatic Guild, Inc.",,All Alcoholic Beverages,,Club,Annual,,,,42370.0,No,,,134,Crowell Road,,Chatham,MA,02633,"134 Crowell Road , Chatham, MA 02633","134 Crowell Road , Chatham, MA 02633"
00065-RS-0198,Pleasant Bay Village Motor Court Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Joshua L Gamsey,PLEASANT BAY VILLAGE RESORT,,Wines and Malt,,Restaurant,Seasonal,,,,42370.0,No,,,1191,Orleans Road,,Chatham,MA,02633,"1191 Orleans Road , Chatham, MA 02633","1191 Orleans Road , Chatham, MA 02633"
00006-CL-0198,Eastward Ho Country Club Inc.,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Evelyn Liu,Eastward Ho Country Club,,All Alcoholic Beverages,,Club,Annual,,,,42425.0,No,,,325,Fox Hill Road,,Chatham,MA,02633,"325 Fox Hill Road , Chatham, MA 02633","325 Fox Hill Road , Chatham, MA 02633"
00035-PK-0198,Liquor Locker Quik Pik Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,CHATHAM,Saumil G Patel,LIQUOR LOCKER,All Alcoholic Beverages,,Package Store,,Annual,,,,42444.0,No,,,1221,Main Street,,Chatham,MA,02633,"1221 Main Street , Chatham, MA 02633","1221 Main Street , Chatham, MA 02633"
00038-PK-0198,New Chatham Corp,Corporation,Off Premise Retail,Issued,46387.0,Active,CHATHAM,Kapilkumar Patel,CHATHAM LIQUOR STORE,All Alcoholic Beverages,,Package Store,,Annual,,,,42529.0,No,,,756,Main Street,,Chatham,MA,02633,"756 Main Street , Chatham, MA 02633","756 Main Street , Chatham, MA 02633"
02698-RS-0198,Backpack Forever LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Thomas Deegan,Mom and Pops,,All Alcoholic Beverages,,Restaurant,Annual,,,,42612.0,Yes,204,2008,1603,Main Street,,Chatham,MA,02633,"1603 Main Street , Chatham, MA 02633","1603 Main Street , Chatham, MA 02633"
03322-RS-0198,Chatham Filling Station LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Frederik Warren Morse,Chatham Filling Station,,Wines and Malt,,Restaurant,Annual,,,,42864.0,No,,,75,Old Harbor Road,A,Chatham,MA,02633,"75 Old Harbor Road A, Chatham, MA 02633","75 Old Harbor Road , A, Chatham, MA 02633"
04542-RS-0198,"Branches Grill and Cafe, LLC",LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Ian Burt,Branches Grill and Cafe,,All Alcoholic Beverages,,Restaurant,Annual,,,,43446.0,Yes,204,2008,155,Crowell Road,,Chatham,MA,02633,"155 Crowell Road , Chatham, MA 02633","155 Crowell Road , Chatham, MA 02633"
04599-RS-0198,South Chatham Seafood LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,MacGregor B. Hay,Chatham Fish and Lobster,,Wines and Malt,,Restaurant,Annual,,,,43481.0,No,,,1291,Main Street,,Chatam,MA,02633,"1291 Main Street , Chatam, MA 02633","1291 Main Street , Chatam, MA 02633"
04965-RS-0198,One Drop Operating LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Shannon Neal,The Chatham Squire,,All Alcoholic Beverages,,Restaurant,Annual,00009-RS-0198,,Benrick Corp,43627.0,No,,,489,Main Street,,Chatham,MA,02633,"489 Main Street , Chatham, MA 02633","489 Main Street , Chatham, MA 02633"
05364-HT-0198,Captains House Operating LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Todd Hearle,Captains House Inn,,Wines and Malt,,Hotel/Innkeeper,Annual,00089-HT-0198,,Meyer B And B Group Inc,43817.0,No,,,369,Old Harbor Road,,Chatham,MA,02633,"369 Old Harbor Road , Chatham, MA 02633","369 Old Harbor Road , Chatham, MA 02633"
05552-RS-0198,Hangar B LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Tracy Shields,Hangar B,,Wines and Malt,,Restaurant,Annual,,,,43931.0,No,,,240,George Ryder Road,,Chatham,MA,02633,"240 George Ryder Road , Chatham, MA 02633","240 George Ryder Road , Chatham, MA 02633"
05791-RS-0198,TPJ RESTAURANT GROUP LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,SCOTT SMITH,PATE'S,,All Alcoholic Beverages,,Restaurant,Annual,00020-RS-0198,,Gardner Restaurant Inc,44130.0,Yes,6,2024,1260,Main Street,,Chatham,MA,02633,"1260 Main Street , Chatham, MA 02633","1260 Main Street , Chatham, MA 99999"
05867-RS-0198,PETER HIGGINS,Sole Proprietor,On Premise Retail,Issued,46387.0,Active,CHATHAM,PETER HIGGINS,DOGFISH TACO CO.,,All Alcoholic Beverages,,Restaurant,Seasonal,,,,44221.0,No,,,22,Barnhill Road,,Chatham,MA,02633,"22 Barnhill Road , Chatham, MA 02633","22 Barnhill Road , Chatham, MA 02633"
06290-RS-0198,593 Main Street Bistro LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Angela Porter,The Bistro on Main,,All Alcoholic Beverages,,Restaurant,Seasonal,00046-RS-0198,,Kathmandu Inc,44420.0,No,,,593,Main Street,,Chatham,MA,02633,"593 Main Street , Chatham, MA 02633","593 Main Street , Chatham, MA 02633"
06625-RS-0198,Pizza Shark Inc.,Corporation,On Premise Retail,Issued,46387.0,Active,CHATHAM,Joshua Koopman,Pizza Shark,,All Alcoholic Beverages,,Restaurant,Annual,00088-RS-0198,,Chatham Orpheum Theatre Inc,44622.0,No,,,637,Main Street,,Chatham,MA,02633,"637 Main Street , Chatham, MA 02633","637 Main Street , Chatham, MA 02633"
06647-RS-0198,TPJ CHATHAM GROUP LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Matthew W. Keough,THE CHATHAM CUT,,All Alcoholic Beverages,,Restaurant,Seasonal,,,,44637.0,No,,,1200,Main Street,,Chatham,MA,02633,"1200 Main Street , Chatham, MA 02633","1200 Main Street , Chatham, MA 02633"
06811-HT-0198,TPG CHATHAM BEVERAGE LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Cletus E. Pancham,CHATHAM WAYSIDE INN,,All Alcoholic Beverages,,Hotel/Innkeeper,Annual,00015-HT-0198,,512 Main Street Inc.,44705.0,No,,,512,Main Street,,Chatham,MA,02633,"512 Main Street , Chatham, MA 02633","512 Main Street , Chatham, MA 02633"
06848-RS-0198,Dock Drop LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Erik Plambeck,Drifters,,All Alcoholic Beverages,,Restaurant,Annual,00081-RS-0198,,Jtamm Corp,44722.0,No,,,2642,Main Street,,Chatham,MA,02659,"2642 Main Street , Chatham, MA 02659","2642 Main Street , Chatham, MA 02659"
07558-RS-0198,"Backpack Forever, LLC",LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Thomas Deegan,Aplaya Kitchen & Tiki Bar,,All Alcoholic Beverages,,Restaurant,Seasonal,,,,45078.0,No,,,483,Main Street,,Chatham,MA,02633,"483 Main Street , Chatham, MA 02633","483 Main Street , Chatham, MA 02633"
07564-RS-0198,Chatham Sunrise LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Lorenza James,Chatham Sunrise Cafe,,All Alcoholic Beverages,,Restaurant,Seasonal,,,,45079.0,No,,,247,Orleans Road,,Chatham,MA,02650,"247 Orleans Road , Chatham, MA 02650","247 Orleans Road , North Chatham, MA 02650"
08151-RS-0198,OPADAD LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,David Eldredge,Elwoods Raw Bar's,,Wines and Malt,,Restaurant,Seasonal,,,,45401.0,No,,,309,Orleans Road,,Chatham,MA,02633,"309 Orleans Road , Chatham, MA 02633","309 Orleans Road , Chatham, MA 02633"
08414-RS-0198,CCNY LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,MARIO MARIANI,PAIN D'AVIGNON,,Wines and Malt,,Restaurant,Annual,,,,45532.0,No,,,69-71,Crowell Road,,Chatham,MA,02633,"69-71 Crowell Road , Chatham, MA 02633","69-71 Crowell Road , Chatham, MA 02633"
08452-RS-0198,MUSTARD SEED LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,SCOTT A SMITH,CODO,,All Alcoholic Beverages,,Restaurant,Seasonal,,,,45551.0,No,,,859,Main Street,,Chatham,MA,02633,"859 Main Street , Chatham, MA 02633","859 Main Street , Chatham, MA 02633"
90868-PK-0198,South Chatham Liquors Corp.,Corporation,Off Premise Retail,Issued,46387.0,Active,CHATHAM,Alpeshkumar Patel,South Chatham Liquors,All Alcoholic Beverages,,Package Store,,Annual,90533-PK-0198,,SCLX INC,45569.0,No,,,2447,Main Street,,Chatham,MA,02659,"2447 Main Street , Chatham, MA 02659","2447 Main Street , Chatham, MA 02659"
08829-RS-0198,HEMM FAM LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,ORLANDO HEMMINGS,CHATHAM MOODS,,All Alcoholic Beverages,,Restaurant,Seasonal,,,,45758.0,No,,,1617,Main Street,,Chatham,MA,02633,"1617 Main Street , Chatham, MA 02633","1617 Main Street , Chatham, MA 02633"
91005-PK-0198,CVM RETAIL INC,Corporation,Off Premise Retail,Issued,46387.0,Active,CHATHAM,HARSH PATEL,CHATHAM VILLAGE MARKET,Wines and Malt,,Package Store,,Annual,00078-PK-0198,,Chatham Market Inc,45772.0,No,,,20,Queen Anne Rd,,Chatham,MA,01609,"20 Queen Anne Rd , Chatham, MA 01609","20 Queen Anne Road , Chatham, MA 02633"
91020-PK-0198,Portside Liquors Chatham Inc.,Corporation,Off Premise Retail,Issued,46387.0,Active,CHATHAM,George Metri,Portside Liquors,All Alcoholic Beverages,,Package Store,,Annual,00041-PK-0198,,Eric Paone Sr,45793.0,No,,,303,Orleans Road,,Chatham,MA,02633,"303 Orleans Road , Chatham, MA 02633","303 Orleans Road , Chatham, MA 02633"
09399-RS-0198,Uncle Tony's LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Sophia Malita,Knot's Landing Bar & Grill,,All Alcoholic Beverages,,Restaurant,Annual,04564-RS-0198,,Skorpios Enterprises Inc.,46037.0,No,,,1077,Main Street,,Chatham,MA,02633,"1077 Main Street , Chatham, MA 02633","1077 Main Street , Chatham, MA 02633"
09427-RS-0198,Diana's Kitchen & Bar LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Jodi-Ann Kaye Grant,Diana's Kitchen & Bar,,All Alcoholic Beverages,,Restaurant,Seasonal,,,,46055.0,No,,,643,Main Street,,Chatham,MA,02633,"643 Main Street , Chatham, MA 02633","643 Main Street , Chatham, MA 02633"
09451-RS-0198,CCNY LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,MARIO MARIANA,PAIN D'AVIGNON,,All Alcoholic Beverages,,Restaurant,Seasonal,,,,46070.0,No,,,69-71,Crowell Road,,Chatham,MA,02633,"69-71 Crowell Road , Chatham, MA 02633","69-71 Crowell Road , Chatham, MA 02633"
09463-HT-0198,Chatham Inn Partners LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHATHAM,Adam Votaw,Chatham Inn,,All Alcoholic Beverages,,Hotel/Innkeeper,Annual,00054-HT-0198,,Inn Partners LLC,46076.0,No,,,359,Main Street,,Chatham,MA,02633,"359 Main Street , Chatham, MA 02633","359 Main Street , Chatham, MA 02633"
00023-VC-0200,American Legion Alberton W Vinal Post 313 Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Albert F. Riccio,,,All Alcoholic Beverages,,Veterans Club,Annual,,,,27660.0,No,,,90,Groton Road,,Chelmsford,MA,01863,"90 Groton Road , Chelmsford, MA 01863","90 Groton Road , Chelmsford, MA 01863"
00015-CL-0200,Chelmsford-Lowell lodge of Elks #2310 inc. Elks Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,KATIE KELEPOURIS,CHELMSFORD LODGE OF ELKS #2310,,All Alcoholic Beverages,,Club,Annual,,,,27697.0,No,,,300,Littleton Road,,Chelmsford,MA,01824,"300 Littleton Road , Chelmsford, MA 01824","300 Littleton Road , Chelmsford, MA 01824"
00026-PK-0200,Drum Hill Liquor Mart Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,CHELMSFORD,Garret Gervais,DRUM HILL LIQUORS,All Alcoholic Beverages,,Package Store,,Annual,,,,30887.0,No,,,83,Parkhurst Road,,Chelmsford,MA,01824,"83 Parkhurst Road , Chelmsford, MA 01824","83 Parkhurst Road , Chelmsford, MA 01824"
00016-RS-0200,Sterling Golf Management Inc.,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Kevin F Osgood,Chelmsford Country Club,,All Alcoholic Beverages,,Restaurant,Annual,,,,35207.0,No,,,66,Park Road,,Chelmsford,MA,01824,"66 Park Road , Chelmsford, MA 01824","66 Park Road , Chelmsford, MA 01824"
00054-RS-0200,Amici Crd Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Robert Frederico,AMICI TRATTORIA,,Wines and Malt,,Restaurant,Annual,,,,35829.0,No,,,7,Summer Street,1,Chelmsford,MA,01824,"7 Summer Street 1, Chelmsford, MA 01824","7 Summer Street , 1, Chelmsford, MA 01824"
00046-PK-0200,Djvp Ram Corp Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,CHELMSFORD,Vipul Patel,CORNER CUPBOARD,All Alcoholic Beverages,,Package Store,,Annual,,,,37162.0,No,,,149,Gorham Street,,Chelmsford,MA,01851,"149 Gorham Street , Chelmsford, MA 01851","149 Gorham Street , Chelmsford, MA 01851"
00059-RS-0200,Double N Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,MICHAEL LUPOLI,SAL'S PIZZA,,Wines and Malt,,Restaurant,Annual,,,,37715.0,No,,,296,Chelmsford Street,,Chelmsford,MA,01824,"296 Chelmsford Street , Chelmsford, MA 01824","296 Chelmsford Street , Chelmsford, MA 01824"
00049-RS-0200,Middlesex Foods Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Francis R Jason,PRINCETON STATION,,All Alcoholic Beverages,,Restaurant,Annual,,,,38315.0,No,,,147,Princeton Street,,Chelmsford,MA,01863,"147 Princeton Street , Chelmsford, MA 01863","147 Princeton Street , Chelmsford, MA 01863"
00060-RS-0200,Dgc Restaurant,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Zhen Xiang Dong,FENG SHUI ASIAN CUISINE,,All Alcoholic Beverages,,Restaurant,Annual,,,,39057.0,No,,,285,Chelmsford Street,,Chelmsford,MA,01824,"285 Chelmsford Street , Chelmsford, MA 01824","285 Chelmsford Street , Chelmsford, MA 01824"
00068-RS-0200,The Java Room,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Candy Liu,,,All Alcoholic Beverages,,Restaurant,Annual,,,,39105.0,No,,,14,Littleton Road,,Chelmsford,MA,01824,"14 Littleton Road , Chelmsford, MA 01824","14 Littleton Road , Chelmsford, MA 01824"
00006-RS-0200,Kmp Restaurant Group Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,JUSTIN HAYES,MOONSTONES,,All Alcoholic Beverages,,Restaurant,Annual,,,,39485.0,No,,,185,Chelmsford Street,,Chelmsford,MA,01824,"185 Chelmsford Street , Chelmsford, MA 01824","185 Chelmsford Street , Chelmsford, MA 01824"
00067-RS-0200,Fish Shops Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Ali Reza Zosherafatin,FISH BONES,,All Alcoholic Beverages,,Restaurant,Annual,,,,39548.0,No,,,34,Central Square,,Chelmsford,MA,01824,"34 Central Square , Chelmsford, MA 01824","34 Central Square , Chelmsford, MA 01824"
00061-RS-0200,Nick Kanti,Sole Proprietor,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Nick Kanti,THAI JASMINE RESTAURANT,,All Alcoholic Beverages,,Restaurant,Annual,,,,39776.0,No,,,313,Littleton Road,,Chelmsford,MA,01824,"313 Littleton Road , Chelmsford, MA 01824","313 Littleton Road , Chelmsford, MA 01824"
00074-RS-0200,Zesty Pizza Inc,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Daniel Rokas,ZESTY'S PIZZA,,Wines and Malt,,Restaurant,Annual,,,,40060.0,No,,,14,Fletcher Street,Suite 3,Chelmsford,MA,01824,"14 Fletcher Street Suite 3, Chelmsford, MA 01824","14 Fletcher Street , 5, Chelmsford, MA 01824"
00010-RS-0200,Ribois LLC,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Cathleen Ribeck,RUFINAS,,All Alcoholic Beverages,,Restaurant,Annual,,,,40654.0,No,,,170,Concord Road,,Chelmsford,MA,01824,"170 Concord Road , Chelmsford, MA 01824","170 Concord Road , Chelmsford, MA 01824"
00001-RS-0200,Pengfa Development LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Vincent Doan,HONG & KONG RESTAURANT & LOUNGE,,All Alcoholic Beverages,,Restaurant,Annual,,,,40900.0,No,,,32,Alpine Lane,,Chelmsford,MA,01824,"32 Alpine Lane , Chelmsford, MA 01824","32 Alpine Lane , Chelmsford, MA 01824"
00053-RS-0200,Tiger Dang Coproration,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Phu Nguyen,PHO DOLAT,,All Alcoholic Beverages,,Restaurant,Annual,,,,41047.0,No,,,131,Drum Hill Road,,Chelmsford,MA,01824,"131 Drum Hill Road , Chelmsford, MA 01824","131 Drum Hill Road , Chelmsford, MA 01824"
00081-RS-0200,Take Two One Ten Grill LLC,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Kim Ennis,110 GRILL,,All Alcoholic Beverages,,Restaurant,Annual,,,,41597.0,No,,,116,Chelmsford Street,,Chelmsford,MA,01824,"116 Chelmsford Street , Chelmsford, MA 01824","116 Chelmsford Street , Chelmsford, MA 01824"
00028-PK-0200,Hoa Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,CHELMSFORD,Ludovina Santos,CASK AND BOTTLE,All Alcoholic Beverages,,Package Store,,Annual,,,,41722.0,No,,,313,Littleton Road,,Chelmsford,MA,01824,"313 Littleton Road , Chelmsford, MA 01824","313 Littleton Road , Chelmsford, MA 01824"
00025-PK-0200,Westland Wine And Spirits,Corporation,Off Premise Retail,Issued,46387.0,Active,CHELMSFORD,Melany Huoth,WESTLAND PACKAGE STORE,All Alcoholic Beverages,,Package Store,,Annual,,,,41942.0,No,,,229,Chelmsford Street,,Chelmsford,MA,01852,"229 Chelmsford Street , Chelmsford, MA 01852","229 Chelmsford Street , Chelmsford, MA 01852"
00076-RS-0200,Indian Palate Inc The,Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,SHASHIDHAR BOGELLI,MADRAS GRILL,,All Alcoholic Beverages,,Restaurant,Annual,,,,42465.0,No,,,7,Summer Street,31 & 32,Chelmsford,MA,01824,"7 Summer Street 31 & 32, Chelmsford, MA 01824","7 Summer Street , 31 & 32, Chelmsford, MA 01824"
02898-GP-0200,North Town Hall Advisory Committee,Non-Profit Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Laura Ann Lee,Chelmsford Community Center,,All Alcoholic Beverages,,General On-Premises,Annual,,,,42703.0,Yes,138,2016,31,Princeton St.,,North Chelmsford,MA,01863,"31 Princeton St. , North Chelmsford, MA 01863","31 Princeton St. , North Chelmsford, MA 01863"
02901-GP-0200,Town Hall Advisory Committee,Non-Profit Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,LAUREN COCHRAN,Chelmsford Center for the Arts,,All Alcoholic Beverages,,General On-Premises,Annual,,,,42703.0,Yes,138,2016,1A,North Road,,Chelmsford,MA,01824,"1A North Road , Chelmsford, MA 01824","1A North Road , Chelmsford, MA 01824"
03105-RS-0200,Pita Restaurant Group LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Daniel Lyons,Pita,,All Alcoholic Beverages,,Restaurant,Annual,,,,42780.0,No,,,18,Boston Road,200,Chelmsford,MA,01824,"18 Boston Road 200, Chelmsford, MA 01824","18 Boston Road , 200, Chelmsford, MA 01824"
03165-RS-0200,"La Union, Inc.",Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,ERIC BRAMBILA,Tequila's Mexican Grill and Cantina,,All Alcoholic Beverages,,Restaurant,Annual,,,,42811.0,No,,,1,Vinal Square,6-8,N. Chelmsford,MA,01863,"1 Vinal Square 6-8, N. Chelmsford, MA 01863","1 Vinal Square , 6-8, N. Chelmsford, MA 01863"
03275-RS-0200,"Aksharpati Restaurant, Inc.",Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,BRUCE NEILD,Kastore Restaurant & Lounge,,All Alcoholic Beverages,,Restaurant,Annual,00043-RS-0200,Purchase,Deep And Rini Llc,42851.0,No,,,100,Tyngsboro Road,,Chelmsford,MA,01863,"100 Tyngsboro Road , Chelmsford, MA 01863","100 Tyngsboro Road , Chelmsford, MA 01863"
03551-RS-0200,Tapatio Restaurante II LLC,LLC,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Guillermo Bravo Meza,Herradura Vieja,,All Alcoholic Beverages,,Restaurant,Annual,,,,42958.0,No,,,7,Summer Street,,Chelmsford,MA,01824,"7 Summer Street , Chelmsford, MA 01824","7 Summer Street , Chelmsford, MA 01824"
03570-RS-0200,Matthew Maries,LLC,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,Matthew Mathias Greer,The Establishment,,All Alcoholic Beverages,,Restaurant,Annual,00075-RS-0200,Purchase,Apriles European Restaurant LLC,42968.0,No,,,75,Princeton Street,,Chelmsford,MA,01863,"75 Princeton Street , Chelmsford, MA 01863","75 Princeton Street , Chelmsford, MA 01863"
04438-RS-0200,"Chelmsford Pizza, Inc.",Corporation,On Premise Retail,Issued,46387.0,Active,CHELMSFORD,George Leo Giannetos,Chelmsford Pizza,,Wines and Malt,,Restaurant,Annual,,,,43392.0,No,,,170,Concord Road,,Chelmsford,MA,01824,"170 Concord Road , Chelmsford, MA 01824","170 Concord Road , Chelmsford, MA 01824"
