objectid,county,name,type,notes,updated,agent_region,munidate,Shape__Area,Shape__Length
238,Mississippi,City Of Bassett,Dry,,,6,1729641600000,635069.855060145,3990.41666249341
239,Poinsett,City Of Lepanto,Wet,,,6,1729641600000,4044883.80959956,11983.972581461212
240,Crittenden,Historic Jasper Township,Wet,Restriction: No Liquor,,6,,74490518.76838116,39547.44661379532
241,Madison,Hobbs State Park-Conservation Area,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,4,,958079.131438615,8129.294614152004
242,St. Francis,Village Creek State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,7118623.345383015,14046.771983929502
243,Phillips,Louisiana Purchase State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,7,,33103.391253305,729.8958162987846
244,Lee,Louisiana Purchase State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,7,,30366.049304225,691.2730833549002
245,Clark,DeGray Lake Resort State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,10,,666082.734545445,12902.725228272557
246,Ouachita,White Oak Lake State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,9,,1901310.997630525,8099.275371314769
247,Nevada,White Oak Lake State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,9,,864966.37295836,7472.422098136035
248,Lawrence,Davidsonville Historic State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,136245.829906875,1395.1666541276825
249,Phillips,Delta Heritage Trail State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,7,,2058070.644517395,122292.77309117184
250,Arkansas,Delta Heritage Trail State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,7,,439795.573203135,13751.760160098866
251,Baxter,Bull Shoals-White River State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,5,,2471425.425806915,10584.256629969648
252,Marion,Bull Shoals-White River State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,5,,352887.542800995,2750.7307910930167
253,Logan,Mount Magazine State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,2,,8874899.575280515,27348.346489013653
254,Yell,Lake Dardanelle State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,2,,307824.969268815,2813.7041209544614
255,Pope,Lake Dardanelle State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,2,,528915.717211415,5782.115273634002
256,Polk,Cossatot River State Park-Natural Area,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,10,,4846640.36749051,16730.73232662954
257,Phillips,Mississippi River State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,7,,1072424.998662535,15388.531725112405
258,Lee,Mississippi River State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,7,,1184218.886897905,20508.375642055504
259,Pulaski,Park Hill,Dry,1978 Election Result,,1,,198080.94094963,1998.1590238795693
260,Pulaski,Pulaski County,Wet,"Exceptions are Part of Park Hill, Union Twn and Historic Bayo Meto Twn",,1,,1855612450.3666332,304747.80909480655
