community_name,zip_code,restriction_type,wet_dry_status,restriction_description,limitation,effective_date,is_unincorporated
Tetlin,99779,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,1/1/1983,True
Togiak,99678,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,11/1/1986,False
Toksook Bay,99637,ban_sale,damp,Sale banned but importation for personal use allowed,,11/1/2012,False
Tuluksak,99679,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,5/1/1994,True
Tuntutuliak,99680,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,11/1/1987,True
Tununak,99681,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,9/1/1981,True
Twin Hills,99576,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,5/30/2000,True
Unalakleet,99684,ban_sale,damp,Sale banned but importation for personal use allowed,,5/1/1992,False
Upper Kalskag,99607,ban_sale,damp,Sale banned but importation for personal use allowed,,11/8/2012,False
Utqiagvik,99723,ban_sale,damp,Sale banned but importation for personal use allowed,Delivery Site,11/1/1997,False
Wainwright,99782,ban_sale_import,dry,Sale and importation banned; personal possession allowed,,8/1/1982,False
Wales,99783,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,9/1/1981,False
